Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",14.4250,17.9000,90.0000,bottom
"C2","10u","C_0805_2012Metric",16.5250,17.9000,90.0000,bottom
"C3","10u","C_0805_2012Metric",24.6500,24.1000,0.0000,bottom
"C4","100n","C_0805_2012Metric",34.9000,22.8000,0.0000,bottom
"C5","100n","C_0805_2012Metric",21.1500,24.1000,180.0000,bottom
"C6","100n","C_0805_2012Metric",30.0000,18.2000,-90.0000,bottom
"C7","27p","C_0805_2012Metric",28.9807,37.4143,-45.0000,bottom
"C8","27p","C_0805_2012Metric",33.9250,37.8500,-135.0000,bottom
"C9","100n","C_0805_2012Metric",35.3468,36.4218,45.0000,bottom
"C10","100n","C_0805_2012Metric",37.8000,23.1500,-90.0000,bottom
"C11","100n","C_0805_2012Metric",40.4500,29.7000,0.0000,bottom
"C12","1u","C_0805_2012Metric",34.6500,41.0500,135.0000,bottom
"C13","1u","C_0805_2012Metric",41.2250,31.7250,0.0000,bottom
"D1","Red","LED_1206_KPTR",42.1000,16.6000,180.0000,bottom
"D2","Green","LED_1206_KPTR",36.9000,16.6000,0.0000,bottom
"J1","HEADER_1x03","Straight_2x03",28.0000,9.7000,0.0000,top
"J2","USBC_USB4105-GF-A","USBC GCT_USB4105-GF-A",19.6000,7.6350,180.0000,bottom
"J3","HEADER_1x03","Straight_2x03",40.7000,9.8000,0.0000,top
"J4","HEADER_1x10","Straight_1x02",38.9050,39.0750,-90.0000,top
"J5","HEADER_1x10","Straight_2x10",9.7700,33.7700,180.0000,top
"J6","HEADER_1x10","Straight_2x10",51.2300,33.8100,0.0000,top
"J7","HEADER_1x10","Straight_2x12",31.1550,46.5800,90.0000,top
"J8","HEADER_2x05","Straight_2x05",26.1550,52.0200,-90.0000,top
"Q1","BC817-25","SOT-23",41.2000,20.0250,90.0000,bottom
"R1","5k1","R_0805_2012Metric",15.4750,15.1000,180.0000,bottom
"R2","5k1","R_0805_2012Metric",11.9875,15.0750,180.0000,bottom
"R3","1k","R_0805_2012Metric",8.5125,15.1000,0.0000,bottom
"R4","DNF","R_0805_2012Metric",17.7625,20.7500,180.0000,bottom
"R5","1k","R_0805_2012Metric",46.3000,13.6125,90.0000,bottom
"R6","27R4","R_0805_2012Metric",32.0000,20.1000,90.0000,bottom
"R7","27R4","R_0805_2012Metric",34.0000,20.1000,90.0000,bottom
"R8","1k","R_0805_2012Metric",31.8750,34.8625,90.0000,bottom
"R9","200R","R_0805_2012Metric",44.3000,13.5875,-90.0000,bottom
"R10","200R","R_0805_2012Metric",44.0000,19.6000,-90.0000,bottom
"R11","390R","R_0805_2012Metric",38.4000,19.7125,90.0000,bottom
"SW1","434133025816","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",9.7000,18.0000,180.0000,top
"SW2","434133025816","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",51.2000,18.0000,0.0000,top
"U1","NCP1117-3.3","SOT-223-3_TabPin2",34.3000,10.3500,90.0000,bottom
"U2","USBLC6-2SC6","SOT-23-6",21.9000,15.2000,180.0000,bottom
"U3","W25Q64JVSSIQ","SOIC-8_5.23x5.23mm_P1.27mm",24.2000,20.1375,0.0000,bottom
"U4","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",31.7000,28.2000,0.0000,bottom
"Y1","LFXTAL082069","Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm",31.5293,39.4628,-135.0000,bottom
